# 워크북 채점 루브릭. 열은 탭으로 구분한다.
# kind: TEST(요구사항 ID로 시작하는 테스트가 통과) / SOURCE(패턴 포함) / SOURCE_ABSENT(패턴 없음)
# id	level	points	kind	target	description
L3-05	3	2	TEST		SimulatedNetwork: UNREACHABLE은 즉시 예외, BLACK_HOLE은 타임아웃으로만 빠져나온다
L3-06	3	2	TEST		retryWithBackoff: 시도 횟수와 지수 백오프 누적 대기 시간
L3-07	3	2	TEST		retryWithBackoff: CancellationException은 재시도하지 않고 즉시 전파한다
L3-08	3	1	TEST		QuorumConfig: W + R > N 위반은 IllegalArgumentException
L3-09	3	2	TEST		write: W개 ack를 모으면 Committed(version, acks)
L3-10	3	2	TEST		write: 팬아웃이 병렬이라 총 소요 시간이 지연의 합이 아니라 최댓값에 가깝다
L3-11	3	2	TEST		write: 정족수를 채우면 느린 복제본을 기다리지 않고 반환하고, 남은 코루틴을 남기지 않는다
L3-12	3	2	TEST		write: 노드 실패 시 재시도·백오프를 거치고도 W를 못 채우면 Rejected
L3-13	3	2	TEST		read: R개 응답 중 version이 가장 큰 값을 돌려준다
L3-14	3	2	TEST		read: 모든 응답에 값이 없으면 NotFound
L3-15	3	2	TEST		FailureDetector: 하트비트가 정상이면 UP을 유지한다
L3-16	3	2	TEST		FailureDetector: 연속 실패가 쌓이면 SUSPECT를 거쳐 DOWN이 되고, 복구되면 UP으로 돌아온다
L3-17	3	2	TEST		FailureDetector: 스코프를 취소하면 감지 루프도 끝난다(구조화된 동시성)
L3-18	3	1	TEST		Cluster.of: 노드/네트워크/코디네이터/감지기 조립
L3-19	3	2	TEST		Cluster.start: 백그라운드 자식 하나가 실패해도 형제와 클러스터가 살아남는다(SupervisorJob)
L3-S1	3	1	SOURCE	src/main/kotlin/com/kotlin/workbook/answer/level3/StoreNode.kt::withLock \{	StoreNode가 Mutex.withLock으로 상태를 보호한다
L3-S2	3	1	SOURCE	src/main/kotlin/com/kotlin/workbook/answer/level3/Quorum.kt::async \{	코디네이터가 async로 팬아웃한다
L3-S3	3	2	SOURCE_BOTH	src/test/kotlin/com/kotlin/workbook/answer/level3/Level3Test.kt::currentTime\)::runBlocking	Level 3 테스트가 runTest 가상 시간(currentTime)으로 검증하고 runBlocking을 쓰지 않는다
